parameter,spearman,prcc,cv_permutation_importance
sigma_canal,-0.4864664944664945,-0.8427882551912627,0.4511988170567255
sigma_oto_base,0.7753969993969994,0.9320977939352711,1.1611598589701484
sigma_vis,-0.12064890064890066,-0.3454538688827982,0.017080593353904272
sigma_not,0.05686757686757687,0.0664002937880706,3.5131786755226966e-05
q_omega,0.26333595533595533,0.6238949223970945,0.12135541760517246
q_a,-0.10501768501768502,-0.39773216156302227,0.07494630589861524
q_obj,0.011260475260475262,0.06166396770887827,0.00026447294094327666
eta_fast,-0.06961948561948562,-0.03450611769347257,-0.0004405798084362012
eta_slow,0.04584851784851785,0.021238451682026618,0.0003007147786002839
tau_not,-0.05943745143745144,0.05117829499616831,0.0003660945415432737
B_omega,-0.07877983877983878,-0.12765132938070914,0.00026620133846013696
B_a,-0.0959111639111639,-0.2525927905263527,0.0053261492623539256
