group,variant,label,metric,point_estimate,bootstrap_ci_low,bootstrap_ci_high,n_realizations,realization_ids
Alignment,event_misaligned_fixed_eye_trace,Event-misaligned fixed trace,object_rmse,0.06259767259840712,0.014279297526426891,0.10951051276355593,30,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Alignment,event_aligned_prerecorded_eye_trace,Event-aligned prerecorded trace,object_rmse,0.008530382747718206,-0.036455672393071785,0.054788687020076395,30,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Alignment,per_trial_closed_loop,Per-trial closed loop,object_rmse,0.03281517076190241,0.02312705817597816,0.04197028196897819,30,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Initialization,canonical_forward_initialization,Canonical initialization,object_rmse,0.03281517076190241,0.02349207320244798,0.04206732349222362,30,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Initialization,inflated_1p8_forward_initialization,Inflated 1.8-fold initialization,object_rmse,0.0217295932719409,0.008293933482208008,0.03461136121702449,30,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Variance policy,previous_belief_weighted_otolith_variance,Previous-belief-weighted variance,object_rmse,0.03281517076190241,0.023398640790585762,0.04175452589201706,30,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Variance policy,oracle_otolith_variance,Oracle variance,object_rmse,0.032794974303297975,0.023411433274893093,0.04191080769704962,30,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Variance policy,fixed_baseline_context_variance,Fixed baseline-context variance,object_rmse,0.04975773855427358,0.04203670720145521,0.05761001754658655,30,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Eye path,eye_compensation,Eye compensation,object_rmse,0.03281517076190241,0.02338787124066057,0.04201236109406657,30,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Eye path,no_eye_compensation,No eye compensation,object_rmse,0.008638114576080115,-0.016301178285255975,0.035782912425411366,30,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Eye path,eye_velocity_forced_zero,Eye velocity forced to zero,object_rmse,0.03281517076190241,0.02370597020634382,0.04178779558967261,30,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
