kappa,metric,n_realizations,baseline_mean,manipulated_mean,manipulated_sd,monte_carlo_se,mean_bootstrap_ci_low,mean_bootstrap_ci_high,paired_absolute_change_mean,paired_absolute_change_ci_low,paired_absolute_change_ci_high,paired_percent_change_mean,paired_percent_change_ci_low,paired_percent_change_ci_high,bootstrap_resamples,bootstrap_seed,realization_ids,sigma_oto,otolith_observation_variance
0.1,false_positive_rms,100,0.05879342106294141,0.10108197874133294,0.013386327200926699,0.00133863272009267,0.09839128468774508,0.10373885174128522,0.04228855767839153,0.039705744855457845,0.0448325571348474,72.66015349934528,67.88565405405565,77.55957815865246,2000,20260731,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,0.6,0.36
0.15,false_positive_rms,100,0.05879342106294141,0.08671173541288693,0.010478441886980688,0.001047844188698069,0.08464751329912068,0.08881833881696631,0.027918314349945503,0.025824525434511292,0.029916918660990815,48.10676980362973,44.32499618141042,52.0081400820532,2000,20260731,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,0.6,0.36
0.2,false_positive_rms,100,0.05879342106294141,0.08104374353183431,0.009634969644698078,0.0009634969644698078,0.07918277422819814,0.08294491379709669,0.022250322468892903,0.020304306440128865,0.024215664092150514,38.4189236217452,34.98222124789838,41.88124878840239,2000,20260731,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,0.6,0.36
0.3,false_positive_rms,100,0.05879342106294141,0.07760173355682515,0.009147229022752558,0.0009147229022752558,0.07580095431965438,0.07940060422855244,0.018808312493883733,0.017018991996057057,0.020647733272818925,32.573635732415575,29.215159391540336,36.06810004699308,2000,20260731,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,0.6,0.36
0.4,false_positive_rms,100,0.05879342106294141,0.07487057099954067,0.010002462050243778,0.0010002462050243779,0.07298150706691953,0.07682769565047465,0.01607714993659925,0.013942080513305326,0.017948512447857723,27.916914195269893,24.339416009681315,31.300557541509935,2000,20260731,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,0.6,0.36
0.5,false_positive_rms,100,0.05879342106294141,0.06739598786755882,0.007750668409928213,0.0007750668409928213,0.06589123282856355,0.06896772569681259,0.008602566804617412,0.0070092548709286065,0.01024783671780372,15.130059146526362,12.350252051341299,17.840268106950596,2000,20260731,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,0.6,0.36
0.6,false_positive_rms,100,0.05879342106294141,0.06246950838155335,0.006022416839994062,0.0006022416839994063,0.061348856789986035,0.06364522869386514,0.003676087318611945,0.002276944113103572,0.005005747042012236,6.757817458669389,4.474239386451778,9.060764536127266,2000,20260731,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,0.6,0.36
0.7,false_positive_rms,100,0.05879342106294141,0.06034998655629329,0.004776630655873738,0.00047766306558737377,0.059456877431003495,0.06127940680114691,0.0015565654933518856,0.00038221289200571196,0.0027625823694188718,3.16737545977998,1.0804998045342997,5.39434495399999,2000,20260731,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,0.6,0.36
0.8,false_positive_rms,100,0.05879342106294141,0.05934881346900644,0.004697042691649216,0.0004697042691649216,0.05840913572157702,0.06022465770619545,0.0005553924060650255,-0.0006346690201736271,0.001720743880461129,1.4576880987572813,-0.5854960065263108,3.5428380886799116,2000,20260731,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,0.6,0.36
0.9,false_positive_rms,100,0.05879342106294141,0.058695020618129506,0.0046248920435843326,0.00046248920435843323,0.05781381907389101,0.059593364387205874,-9.840044481189907e-05,-0.0013018854785918185,0.0010644723305653539,0.34252646958757665,-1.606877818688565,2.371449676899908,2000,20260731,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,0.6,0.36
1.0,false_positive_rms,100,0.05879342106294141,0.05822931245412465,0.004573720297727039,0.0004573720297727039,0.0572980662131726,0.059150740394409054,-0.0005641086088167647,-0.0017649333990201112,0.0005884146077601439,-0.4501773141874699,-2.4826695268176646,1.555748435372325,2000,20260731,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,0.6,0.36
