raw_effects,type,val,noise,gain,delay_steps,bias,mean_effect,median_effect,sd_effect,se_effect,ci_lower,ci_upper,n_predicted,prop_predicted,relative_to_ref,excludes_zero
"[0.01991937278486263, 0.02247283321937412, 0.038736721285239674, 0.0458890287805532, 0.007927389785629353, 0.06513921043559862, 0.016420972387604114, 0.03659918474400091, 0.02555573024766021, 0.04236296434109702, 0.027879012523499315, 0.019257858739310213, -0.004031907007290246, 0.014013979444290503, 0.025618524175841734, 0.0235857442244606, 0.02689540826791529, 0.03439204543031107, 0.03059525953136491, 0.037581953976058714, 0.022868922367270228, 0.02881533706761965, 0.029623593828721574, 0.046826233283899864, 0.021432238049712532, 0.03132340909191868, 0.006975368369169434, 0.018608443364740018, 0.020144157304648753, 0.02651589550777317, 0.04547917316667982, 0.033978431933246594, 0.02822334707557215, 0.015298101912877761, 0.03493668525101753, 0.028965677550943023, 0.023318268649883553, 0.028519504569696166, 0.03722081513776049, 0.02614333474964004, 0.023876669935034435, 0.0227423999472424, 0.032980587617381, 0.017369448477316245, 0.026205882594849017, 0.028614520688486737, 0.038774424608057606, 0.03419902974573208, 0.027133084530913537, 0.0214210518329645]",noise,0,0.0,1.0,0,0.0,0.02770690651056301,0.027014246399414413,0.011200533378570743,0.0015839946209787288,0.024642559247807234,0.030605977518137362,49,0.98,1.0,True
"[0.019856459756569127, 0.02247932587532539, 0.038690012123907144, 0.0457787116054716, 0.007914274813316267, 0.06520536977976107, 0.016365034856600714, 0.03666376667165158, 0.0254646203747306, 0.04226558643370643, 0.027889572860403375, 0.019316675859263284, -0.003918740283465047, 0.014088358697283095, 0.025572065434709468, 0.023510626947156117, 0.026786286360470583, 0.03446855783619395, 0.030561724989827975, 0.037761201082694616, 0.022958419449305455, 0.028852210490851696, 0.029566790022040393, 0.04683124978114187, 0.021373076947765517, 0.03142098788383646, 0.0068544622000024785, 0.018715818215184213, 0.020009300992188422, 0.026564467497720505, 0.04557180077657224, 0.03392889785716875, 0.028162589483436702, 0.01525194858331616, 0.03489084066069451, 0.028838264073872494, 0.02337137628585631, 0.028472858644543318, 0.03743692153962982, 0.026166977706690873, 0.023796011457200963, 0.02273166113183827, 0.032931342521264645, 0.017296470007120764, 0.026287518335116403, 0.02853219040510776, 0.038701168805224555, 0.034272771481844384, 0.027182904484562218, 0.021388666382877418]",noise,2.5,0.0027265566522113207,1.0,0,0.0,0.027701589123591063,0.0269845954225164,0.011209156154416996,0.0015852140656334361,0.02464329885288924,0.030606004377419293,49,0.98,0.9998080844222029,True
"[0.01978642593587751, 0.022478995487936436, 0.03863397751923973, 0.045657302424478505, 0.007897428073236172, 0.06525863718421768, 0.016302188267191063, 0.03672027921309011, 0.025365130407765765, 0.04215847937779419, 0.027892264311038167, 0.01936879154512687, -0.0038071634591191617, 0.014155212070415014, 0.025518285596063728, 0.023428488347915888, 0.026666959971824243, 0.03453478261919469, 0.030520210897388364, 0.03793006753162769, 0.023041864684780228, 0.028881226013005412, 0.029501590722467552, 0.04682601672660611, 0.021306054077408272, 0.031510561389429884, 0.006729523850669203, 0.018818221298388088, 0.01986651547791144, 0.026606221019152415, 0.04565447260515926, 0.03387277586323728, 0.028092309398145207, 0.015200126822253586, 0.03483582532652667, 0.028701079296334198, 0.023418138776439792, 0.02841601820127248, 0.03764246579986878, 0.026183077470916152, 0.023708502022072905, 0.022714112537914027, 0.03287339660299267, 0.01721699301830225, 0.026361516090758666, 0.02844209946214734, 0.0386167771378641, 0.034339751004474665, 0.02722544181667102, 0.021348850206393447]",noise,5,0.0054531133044226415,1.0,0,0.0,0.02768836536083731,0.02694620089424763,0.01121661583440682,0.0015862690236946935,0.024628781173467368,0.030597626432527582,49,0.98,0.9993308112647427,True
"[0.019625452130173568, 0.02245773340840429, 0.03849426523296673, 0.04538142503547674, 0.007852514141733796, 0.06532643009235797, 0.01615600834592021, 0.036808914419716995, 0.025141179694469447, 0.04191535069259486, 0.02787434217087574, 0.01945278291486019, -0.0035891532262376444, 0.014266052394161982, 0.025389150764175153, 0.023243540669259204, 0.026397890815946068, 0.03463646218240673, 0.030413162193150982, 0.038236482496721534, 0.02319035564082953, 0.028915773652375132, 0.02934612042638928, 0.04678441176632761, 0.0211486723342285, 0.03166559113758913, 0.00646808530753671, 0.019007862773632443, 0.01955763031651879, 0.026669007605721294, 0.04579007352595378, 0.033740912152836186, 0.0279232271341191, 0.015079554260235453, 0.03469823832966277, 0.028397828266468667, 0.023492459129507398, 0.028272126506840904, 0.038021151523386275, 0.026192459332140067, 0.02351283852313469, 0.02265885098537246, 0.03273169033343692, 0.017038411775986896, 0.026486463931379794, 0.028238930132413034, 0.03841503277811809, 0.03445337046315927, 0.0272886200738724, 0.02124669734187811]",noise,10,0.010906226608845283,1.0,0,0.0,0.027638248680603706,0.026978813839796847,0.011228064329477741,0.0015878880853944994,0.024584291009840158,0.030551309247180525,49,0.98,0.9975219958268121,True
"[0.019223844000370506, 0.022332694948778944, 0.03810748258143732, 0.0447000758577898, 0.007717996992185311, 0.06530783648019645, 0.015784270277095815, 0.036888043733042955, 0.02459555655538883, 0.041316111441954656, 0.027748055547213574, 0.019539550175347392, -0.0031761506872408363, 0.014395445303435783, 0.025047920800160564, 0.022794409862553502, 0.025740858495204993, 0.03471849241361359, 0.030103222126153913, 0.03872397088341729, 0.02341251667417347, 0.028892356037852944, 0.028936526423735155, 0.04657488088971291, 0.020743283731084715, 0.031879202230691905, 0.005903145353605463, 0.01932516415844006, 0.01885085169803239, 0.026710441032557333, 0.045944058654656075, 0.033400183864039173, 0.02747247111276154, 0.014771841383044784, 0.03431349846825662, 0.027680000550223308, 0.023563668763524434, 0.027867326666814227, 0.03864517051638489, 0.026119425105882707, 0.023038947187691, 0.02247017049969134, 0.03234790403433665, 0.016602515168267766, 0.02664405398246847, 0.02774344204883729, 0.03788405689153425, 0.034599437705426506, 0.027327770188470366, 0.020951589333506042]",noise,20,0.021812453217690566,1.0,0,0.0,0.027444511762876083,0.02701910561051385,0.01123730338216229,0.0015891946847554962,0.02436953049962816,0.030356878829986545,49,0.98,0.990529626698423,True
"[0.0181427306105617, 0.021762329355603197, 0.03694156628705525, 0.04285549886275401, 0.007276114360410174, 0.06467789429698692, 0.014754770548777031, 0.03665942339896802, 0.023144182668474476, 0.03969891263264184, 0.027164278236340003, 0.01939704125596331, -0.0024580808120354264, 0.014295694354770641, 0.0240678665989692, 0.021614016217314097, 0.023992602173584343, 0.03442652019273947, 0.02911389923309151, 0.03921290462977116, 0.023556021143519207, 0.028497250635851817, 0.027747694291167087, 0.045651770066787015, 0.01960364691257894, 0.031931658661950024, 0.004642661416265244, 0.01970783107048711, 0.017126666535669098, 0.026456168838000622, 0.04580892361474098, 0.03242898019538143, 0.026149307021397505, 0.013907369549607945, 0.0331242875203555, 0.025847644773473503, 0.02340006871936748, 0.026635673374933187, 0.03934979659103818, 0.025613729712791022, 0.02177124396413606, 0.021808012332839993, 0.031213012152821004, 0.015425068848854931, 0.026600105454438958, 0.026427902968133826, 0.036361672932227786, 0.034575654276930226, 0.02707048808748609, 0.020004946817632527]",noise,40,0.04362490643538113,1.0,0,0.0,0.026703708471672104,0.026288604994765666,0.011204300442834273,0.0015845273643159104,0.023614712388839332,0.029621185585453673,49,0.98,0.9637924920088626,True
"[0.021701567996689278, 0.016689585409692745, 0.03110119369448293, 0.045652628224119876, 0.01588699449727648, 0.06796241310600745, 0.02284835027463116, 0.030880655934330023, 0.02917982638573271, 0.040196375884220925, 0.028213722913386495, 0.0236356389797214, 0.005595603124299797, 0.013463178745503714, 0.02384322943061739, 0.021152117370429095, 0.029988241051437894, 0.024583618174636224, 0.01920666327745068, 0.04139696389633904, 0.025985006164077937, 0.021176328760329204, 0.03228185578105388, 0.03992605577505706, 0.01845595644940041, 0.03100763683967131, 0.011069546981178124, 0.024183639816901387, 0.02318338153616365, 0.03224383665781087, 0.04187504987502726, 0.03114297258502502, 0.027674211622729768, 0.017706628076464573, 0.03557319720995425, 0.028001572533533102, 0.030990445134044933, 0.023002967427989518, 0.03456500705146029, 0.028706493791746474, 0.027382629326766772, 0.027446502712623923, 0.03758171123675057, 0.020031410469596916, 0.022395045329828764, 0.030012200901002734, 0.04068601868149587, 0.03192121773036734, 0.031630243729672235, 0.02588920573737439]",gain,0.8,0.0,0.8,0,0.0,0.028138130885922076,0.027837892078131435,0.009967953337959547,0.0014096814799644554,0.02548453120277161,0.030740814363023557,50,1.0,1.0155637864225178,True
"[0.021385859640991503, 0.02009040208358448, 0.03596335757403091, 0.04670630970348247, 0.012230332536573803, 0.06766251376866839, 0.020188650254610536, 0.034516770705044636, 0.02794421684835984, 0.042239446422741314, 0.028375690558864256, 0.022036317228498338, 0.0007999958346090186, 0.014268954892500872, 0.024973751224395505, 0.022893482175161982, 0.028984095864602356, 0.030148635934404276, 0.025736928561534825, 0.040192553576278794, 0.024811981094211538, 0.026123059558642733, 0.03190125457561143, 0.0440340047818462, 0.02040429768377356, 0.03191583167723944, 0.00934488961762863, 0.021673794130995974, 0.02193614173706227, 0.029752507657133068, 0.044950562811621096, 0.033025436413577185, 0.028570949183509553, 0.016714152258532157, 0.035665931967486214, 0.02898674261933821, 0.027483605808749048, 0.026347383921806314, 0.036149497299049295, 0.02785999601588012, 0.026296286480139507, 0.025760624176348335, 0.03598720456049572, 0.01911401488604078, 0.025039732011566472, 0.02979092377708205, 0.04030576027854621, 0.03386262742000995, 0.029954977501262282, 0.024194687142842237]",gain,0.9,0.0,0.9,0,0.0,0.028505942488739312,0.02790210643211998,0.01050398004494743,0.001485487103846101,0.02566770901963977,0.031205026457397884,50,1.0,1.0288388737252814,True
"[0.01991937278486263, 0.02247283321937412, 0.038736721285239674, 0.0458890287805532, 0.007927389785629353, 0.06513921043559862, 0.016420972387604114, 0.03659918474400091, 0.02555573024766021, 0.04236296434109702, 0.027879012523499315, 0.019257858739310213, -0.004031907007290246, 0.014013979444290503, 0.025618524175841734, 0.0235857442244606, 0.02689540826791529, 0.03439204543031107, 0.03059525953136491, 0.037581953976058714, 0.022868922367270228, 0.02881533706761965, 0.029623593828721574, 0.046826233283899864, 0.021432238049712532, 0.03132340909191868, 0.006975368369169434, 0.018608443364740018, 0.020144157304648753, 0.02651589550777317, 0.04547917316667982, 0.033978431933246594, 0.02822334707557215, 0.015298101912877761, 0.03493668525101753, 0.028965677550943023, 0.023318268649883553, 0.028519504569696166, 0.03722081513776049, 0.02614333474964004, 0.023876669935034435, 0.0227423999472424, 0.032980587617381, 0.017369448477316245, 0.026205882594849017, 0.028614520688486737, 0.038774424608057606, 0.03419902974573208, 0.027133084530913537, 0.0214210518329645]",gain,1.0,0.0,1.0,0,0.0,0.02770690651056301,0.027014246399414413,0.011200533378570743,0.0015839946209787288,0.024642559247807234,0.030605977518137362,49,0.98,1.0,True
"[0.017393255918423473, 0.02351423590407444, 0.03936530882974207, 0.04366460551552377, 0.003316688098898457, 0.06055280727183779, 0.012212169881217476, 0.03710334455892947, 0.021946244685421147, 0.040940801457796314, 0.02689071538937296, 0.015393415679359805, -0.008303616825403357, 0.012714691653604407, 0.025808267489998454, 0.023382650888707515, 0.023824064896045632, 0.03672526663558671, 0.033260937306400576, 0.033306823137372696, 0.02037105240087203, 0.029564460419587227, 0.025795402825869798, 0.048314630182340564, 0.021604508088444288, 0.029368327974260408, 0.004382839714461746, 0.015405852899306918, 0.01797968711608393, 0.022558345785111268, 0.043760548212834205, 0.034030594118532, 0.0268481244434624, 0.013581245453813437, 0.033544837767283855, 0.02786732561191462, 0.0186968704658598, 0.029151270713168913, 0.03762406278999279, 0.023859489585196167, 0.020104909289356487, 0.018591831678365513, 0.028615435017135482, 0.014997438473787275, 0.02620042124618842, 0.026477904739546775, 0.03594465018202732, 0.03330133825984649, 0.023568637843202393, 0.018033696768437246]",gain,1.1,0.0,1.1,0,0.0,0.025863168368783985,0.025801835157934126,0.01182974109782495,0.001672978029990643,0.022583908275079966,0.028906311736242602,49,0.98,0.9334556479238808,True
